Registered Substances
Export date: 15/02/2019 08:37:58
Last updated 13/02/2019. Database contains 21928 unique substances and contains information from 92032 dossiers.

"substanceName"	""
"ecNumber"	""
"casNumber"	""
"otherNumber"	""
"otherNumericalIdentifiers"	

"registrationType"	"FULL"
"submissionType"	
"country"	""
"firstPublishedDateMin"	
"firstPublishedDateMax"	
"lastUpdateDateMin"	
"lastUpdateDateMax"	
"registrantName"	""
"registrationNumber"	""
"tonnageBandType"	"ALL"
"tonnageBandMin"	"0"
"tonnageBandMax"	"0"
"substancesHasNanoform"	"-1"
"pbtAssesmentOutcome"	
"csaPerformed"	""
"lifecycles"	

"uses"	

"usesOperatorIsAnd"	"true"
"uses"	



"Name"	"EC / List Number"	"Cas Number"	"Registration Type"	"Submission Type"	"Total tonnage Band"	"Factsheet URL"	"Substance Information Page"	
"(1-hydroxyethylidene)bisphosphonic acid, potassium salt"	"267-956-0"	"67953-76-8"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/2191"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.061.760"	
"(1-hydroxyethylidene)bisphosphonic acid, sodium salt"	"249-559-4"	"29329-71-3"	"Full"	"Joint"	"1000 - 10000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/15211"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.045.040"	
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate"	"256-032-2"	"42978-66-5"	"Full"	"Joint"	"100000 - 1000000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/15153"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.050.921"	
"(1-methylethyl)-1,1'-biphenyl"	"247-156-8"	"25640-78-2"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/10021"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.042.855"	
"(1-methylethylidene)bis(4,1-phenyleneoxy-3,1-propanediyl) bismethacrylate"	"248-607-1"	"27689-12-9"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/16429"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.044.173"	
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate"	"425-220-8"	"5945-33-5; 181028-79-5"	"Full"	"Joint"	"1000 - 10000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/5460"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.102.368"	
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate"	"425-220-8"	"5945-33-5; 181028-79-5"	"Full"	"Individual"	"1000 - 10000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/6592"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.102.368"	
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate"	"425-220-8"	"5945-33-5; 181028-79-5"	"Full"	"Individual"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/1424"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.102.368"	
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate"	"425-220-8"	"5945-33-5; 181028-79-5"	"Full"	"Individual"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/8024"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.102.368"	
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate"	"425-220-8"	"5945-33-5; 181028-79-5"	"Full"	"Individual"	"10+ tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/15059"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.102.368"	
